"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 16:09:11 CST 2024","Sat Jul 06 16:09:11 CST 2024","4","","test_allure_1","TestUserManagement","","","test_add_user","测试添加用户"
"passed","Sat Jul 06 16:09:12 CST 2024","Sat Jul 06 16:09:12 CST 2024","7","","test_allure_1","TestUserManagement","","","test_delete_user","测试删除用户"
